LAmos,Loren ,Amos,Amos@gmail.com,ANP,503-555-1212,No
RDurham,Raees ,Durham,Durham@gmail.com,ANP,503-555-1213,No
JSnyder,Jordanne ,Snyder,Snyder@gmail.com,ANP,503-555-1214,No
RGillespie,Renee ,Gillespie,Gillespie@gmail.com,ANP,503-555-1215,No
DJaramillo,Dainton ,Jaramillo,Jaramillo@gmail.com,ANP,503-555-1216,No
CDouglas,Cassian ,Douglas,Douglas@gmail.com,ANP,503-555-1217,No
SMcmillan,Susie ,Mcmillan,Mcmillan@gmail.com,ANP,503-555-1218,No
IKim,Isabel ,Kim,Kim@gmail.com,ANP,503-555-1219,No
MLi,Mahi ,Li,Li@gmail.com,ANP,503-555-1220,No
RGiles,Raul ,Giles,Giles@gmail.com,ANP,503-555-1221,No
MLugo,Myron ,Lugo,Lugo@gmail.com,ANP,503-555-1222,No
ECash,Euan ,Cash,Cash@gmail.com,LNHA,503-555-1223,No
CMarriott,Calum ,Marriott,Marriott@gmail.com,LNHA,503-555-1224,No
MWainwright,Marek ,Wainwright,Wainwright@gmail.com,LNHA,503-555-1225,No
MContreras,Montague ,Contreras,Contreras@gmail.com,MD,503-555-1226,Yes
MAcosta,Madeline ,Acosta,Acosta@gmail.com,MD,503-555-1227,No
MByrne,Miller ,Byrne,Byrne@gmail.com,MD,503-555-1228,No
LChan,Luna ,Chan,Chan@gmail.com,MD,503-555-1229,No
MMcconnell,Mabel ,Mcconnell,Mcconnell@gmail.com,MD,503-555-1230,No
TGomez,Talha ,Gomez,Gomez@gmail.com,MD,503-555-1231,No
EAndersen,Elaina ,Andersen,Andersen@gmail.com,MD,503-555-1232,No
HMckenna,Haiden ,Mckenna,Mckenna@gmail.com,MD,503-555-1233,No
ICraig,Ismail ,Craig,Craig@gmail.com,MD,503-555-1234,No
NPerkins,Nolan ,Perkins,Perkins@gmail.com,MD,503-555-1235,No
ZBlankenship,Zarah ,Blankenship,Blankenship@gmail.com,MD,503-555-1236,No
TWheatley,Taryn ,Wheatley,Wheatley@gmail.com,MD,503-555-1237,No
